SKU;Nombre_Comercial;Color;Linea;Ambiente;Descripcion_Corta;Descripcion_Larga;Medidas_Mueble;Peso;Embalaje;Cantidad_Paquetes;URLs_Fotos;Imagen_Tecnica;Manual_PDF;Video_YouTube;Relacionados;Detalles_Tecnicos
716270;Cómoda DANUBIO;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 (pd) abierto.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 (pd).jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 (pf).jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 (pfs).jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 (pi) abierto.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 (pi).jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 - Silueta.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Gemini_Generated_Image_9ozod89ozod89ozo.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/Art 716270 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 716270 (Cómoda DANUBIO)/A716270-IA-IM00.PDF;;;
732270;Mesa de luz LIMAY;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/Escena Art 732270 A.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 5.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 6.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/732270 Foto Real 7.png";;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 732270 (Mesa de luz LIMAY)/A732270-IA-IM00.PDF;;;
742270;Placard RHINE;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/Escena Art 742270 A.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/Escena Art 742270 B.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/1.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/2.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/3.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/4.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/5 (con ropa).png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/5.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/6.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/Art 742270 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/Art 742270 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742270 (Placard RHINE)/A742270-IA-IM00.PDF;;;
742272;Placard VOLGA;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Escena Art 742272 (pf).png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Escena Art 742272 (pi).png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Art 742272 (pi) - Real 1.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Art 742272 (pi) - Real 2.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Art 742272 (con ropa).png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Art 742272 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/Art 742272 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742272 (Placard VOLGA)/A742272-IA-IM00.PDF;;;
742273;Placard SEINE;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/Escena Art 742273.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/Art 742272 - Silueta.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/Art 742273 (pf) (con ropa).png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/Art 742273 (pf).png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/Art 742273 (pi).png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/Art 742273 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 742273 (Placard SEINE)/A742273-IA-IM00.PDF;;;
734222;Escritorio FENIX;;Gamer;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Escena Art 734222 (blanco).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Escena Art 734222 (rojo).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (blanco) - Silueta.png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pd) (blanco).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pd) (rojo).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pds) (rojo).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pf) (blanco).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pf) (rojo).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pfs) (blanco).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (pld) (blanco).png; /Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (rojo) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/Art 734222 (rojo) - Medidas.png;/Artículos Gacela Muebles 2026/Línea Gamer/Art 734222 (Escritorio FENIX)/A734222-IA-IM00.PDF;;;
334090;Escritorio CAPIBARA;;Infantil;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/Escena Art 334090 (Capibara).png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/Escena Infantil (Capibara).png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/334090 Real 1 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/334090 Real 2 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/Art 334090 (Capibara) (pf) - Silueta.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/Escritorio 334090 + Silla C (pi) (Capibara).png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/Escritorio 334090 + Silla C (pis) (Capibara).png";/Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/Art 334090 (Capiobara) - Medidas.png;/Artículos Gacela Muebles 2026/Línea Infantil/Art 334090 (Escritorio CAPIBARA)/A334090-IA-IM01.PDF;;;
740151;Organizador CAPIBARA;;Infantil;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/Escena Art 740151 A.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/Escena Art 740151.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/740151 Real 1 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/740151 Real 2 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/740151 Real 4 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/Art 740151 (Capibara) (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/Art 740151 (Capibara) - Medidas.png;/Artículos Gacela Muebles 2026/Línea Infantil/Art 740151 (Organizador CAPIBARA)/A740150-IA-IM00.PDF;;;
753153;Biblioteca CAPIBARA;;Infantil;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/Escena Art 753153.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/753153 Foto Real 1 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/753153 Foto Real 2 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/753153 Foto Real 3 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/753153 Foto Real 4 v1.png; /Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/Art 753153 (Capibara) (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/Art 753153 (Capibara) - Medidas.png;/Artículos Gacela Muebles 2026/Línea Infantil/Art 753153 (Biblioteca CAPIBARA)/A753153-IA-IM00.PDF;;;
315250;Centro de entretenimiento KOBE;;Kyoto;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Escena Art 315250 (blanco).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Escena Art 315250 (negro).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 Real (pd)  (blanco).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 Real (pd)  (negro).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 Real (pf)  (blanco).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 Real (pf)  (negro).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 Real (pi)  (blanco).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 Real (pi)  (negro).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 - Silueta (blanco).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 - Silueta (negro).png";/Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/Art 315250 - Medidas (negro).png;/Artículos Gacela Muebles 2026/Línea Kyoto/Art 315250 (Centro de entretenimiento KOBE)/A315250-IA-IM01.PDF;;;
315251;Centro de entretenimiento SAPPORO;;Kyoto;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/Escena Art 315251.png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/315251 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/315251 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/315251 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/Art 315251 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/Art 315251 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Kyoto/Art 315251 (Centro de entretenimiento SAPPORO)/A315251-IA-IM00.PDF;;;
322250;Biblioteca-Separador KANAZAWA;;Kyoto;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Escena Art 322250 (divisor de ambientes).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Escena Art 322250.png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Art 322250 Real - abierto.png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Art 322250 (pd).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Art 322250 (pf).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Art 322250 (pi).png; /Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Art 322250 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/Art 322250 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Kyoto/Art 322250 (Biblioteca-Separador KANAZAWA)/A322250-IA-IM00.PDF;;;
